family,benchmark,size_slot,value
DeepSeek,BibleQA,L,0.9443
DeepSeek,BibleQA,M,0.9029
DeepSeek,BibleQA,S,0.0
DeepSeek,BuddhismEval,L,
DeepSeek,BuddhismEval,M,
DeepSeek,BuddhismEval,S,
DeepSeek,CatholicBench,L,
DeepSeek,CatholicBench,M,
DeepSeek,CatholicBench,S,
DeepSeek,IslamTrust,L,
DeepSeek,IslamTrust,M,
DeepSeek,IslamTrust,S,
Gemma,BibleQA,L,0.8849
Gemma,BibleQA,M,0.8995
Gemma,BibleQA,S,0.8172
Gemma,BuddhismEval,L,
Gemma,BuddhismEval,M,
Gemma,BuddhismEval,S,
Gemma,CatholicBench,L,
Gemma,CatholicBench,M,
Gemma,CatholicBench,S,
Gemma,IslamTrust,L,
Gemma,IslamTrust,M,
Gemma,IslamTrust,S,
Llama,BibleQA,L,0.9063
Llama,BibleQA,M,0.9244
Llama,BibleQA,S,0.7935
Llama,BuddhismEval,L,
Llama,BuddhismEval,M,
Llama,BuddhismEval,S,
Llama,CatholicBench,L,
Llama,CatholicBench,M,
Llama,CatholicBench,S,
Llama,IslamTrust,L,
Llama,IslamTrust,M,
Llama,IslamTrust,S,
MiniMax,BibleQA,L,0.9345
MiniMax,BibleQA,M,0.93
MiniMax,BibleQA,S,0.9402
MiniMax,BuddhismEval,L,
MiniMax,BuddhismEval,M,
MiniMax,BuddhismEval,S,
MiniMax,CatholicBench,L,
MiniMax,CatholicBench,M,
MiniMax,CatholicBench,S,
MiniMax,IslamTrust,L,
MiniMax,IslamTrust,M,
MiniMax,IslamTrust,S,
Qwen,BibleQA,L,0.9447
Qwen,BibleQA,M,0.9266
Qwen,BibleQA,S,0.9287
Qwen,BuddhismEval,L,
Qwen,BuddhismEval,M,
Qwen,BuddhismEval,S,
Qwen,CatholicBench,L,
Qwen,CatholicBench,M,
Qwen,CatholicBench,S,
Qwen,IslamTrust,L,
Qwen,IslamTrust,M,
Qwen,IslamTrust,S,
