benchmark,task,family,size,model,provider,accuracy,stderr,valid_response_rate,parse_failure_rate,completed_samples,total_samples,contributing_logs,source_statuses,log_path
IslamTrust,islamtrust_mc1,Qwen,S,qwen/qwen3-8b,OpenRouter,0.7118226601,0.0158941682,1.0000000000,0.0000000000,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Qwen,M,qwen/qwen3-32b,OpenRouter,0.7635467980,0.0149111938,1.0000000000,0.0000000000,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Qwen,L,qwen/qwen3-235b-a22b,OpenRouter,0.7906403941,0.0142776894,1.0000000000,0.0000000000,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,OpenRouter,0.8128078818,0.0136886216,1.0000000000,0.0000000000,812,812,merged_original_rebounds_hard_batches,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,DeepSeek,M,deepseek/deepseek-chat-v3.1,OpenRouter,0.8152709360,0.0136188545,1.0000000000,0.0000000000,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,DeepSeek,L,deepseek/deepseek-r1,OpenRouter,0.8312807882,0.0131425043,1.0000000000,0.0000000000,812,812,merged_original_rebounds_hard_batches,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Llama,S,meta-llama/llama-3.2-3b-instruct,OpenRouter,0.4852216749,0.0175388942,0.9876847291,0.0123152709,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Llama,M,meta-llama/llama-3.1-8b-instruct,OpenRouter,0.5788177340,0.0173271820,0.8879310345,0.1120689655,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Llama,L,meta-llama/llama-3.3-70b-instruct,OpenRouter,0.7315270936,0.0155520422,0.9766009852,0.0233990148,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Gemma,S,google/gemma-3-4b-it,OpenRouter,0.6687192118,0.0165174124,0.9963054187,0.0036945813,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Gemma,M,google/gemma-3-12b-it,OpenRouter,0.7463054187,0.0152698889,1.0000000000,0.0000000000,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
IslamTrust,islamtrust_mc1,Gemma,L,google/gemma-3-27b-it,OpenRouter,0.7684729064,0.0148025718,1.0000000000,0.0000000000,812,812,single_success_log,Done,merged from IslamTrust OpenRouter full/rebound/hard-batch Inspect logs
BibleQA,bibleqa_sentence_selection,Qwen,S,qwen/qwen3-8b,OpenRouter,0.9278,0.0086951869,1.0,0.0,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Qwen,M,qwen/qwen3-32b,OpenRouter,0.9266,0.0087614768,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Qwen,L,qwen/qwen3-235b-a22b,OpenRouter,0.9458,0.0076064574,1.0,0.0,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,MiniMax,S,minimax/minimax-01,MiniMax API,0.9402,0.0079660652,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,MiniMax,M,minimax/minimax-m1,MiniMax API,0.93,0.0085718317,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,MiniMax,L,minimax/minimax-m2.5,MiniMax API,0.9345,0.0083117686,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,DeepSeek,S,deepseek/deepseek-r1-distill-llama-70b,OpenRouter,0.921,0.009062051,0.9988713318,0.0011286682,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,DeepSeek,M,deepseek/deepseek-chat-v3.1,OpenRouter,0.9029,0.0099474687,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,DeepSeek,L,deepseek/deepseek-r1,OpenRouter,0.9515,0.0072170282,1.0,0.0,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Llama,S,meta-llama/llama-3.2-3b-instruct,OpenRouter,0.7935,0.0135993024,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Llama,M,meta-llama/llama-3.1-8b-instruct,OpenRouter,0.9244,0.0088812482,0.9988713318,0.0011286682,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Llama,L,meta-llama/llama-3.3-70b-instruct,OpenRouter,0.9289,0.0086338087,1.0,0.0,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Gemma,S,google/gemma-3-4b-it,OpenRouter,0.8172,0.0129848045,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Gemma,M,google/gemma-3-12b-it,OpenRouter,0.8995,0.0101010554,1.0,0.0,886,886,single_success_log_or_prior_rebound,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
BibleQA,bibleqa_sentence_selection,Gemma,L,google/gemma-3-27b-it,OpenRouter,0.886,0.0106770783,1.0,0.0,886,886,merged_original_and_rebounds,Done,merged from results/inspect/logs/jenny-religion-20260510* and jenny-religion-20260511* rebounds
